simbad_name,ra_hms,dec_dms,Vmag,Imag,WFS6535 mag,WFSHaIR mag,phot_g_mean_mag,vetted,n_sys,pmra,pmdec,parallax,bp_rp,source_id,ra,dec,Num
*  30 Psc,00:01:57.61,-06:00:50.65,,1.440000057220459,,,,N,1,46.941,-40.471,,,,0.49008113222000005,-6.01407055668,1
* eps Phe,00:09:24.64,-45:44:50.72,,2.5899999141693115,,,,N,1,120.393,-179.597,,,,2.3526670558199996,-45.74742390816,2
*   7 Cet,00:14:38.41,-18:55:58.30,,1.9199999570846558,,,,N,1,-26.458,-73.45,,,,3.6600704726100006,-18.932863353932504,3
* iot Cet,00:19:25.67,-08:49:26.10,,2.109999895095825,,,,N,1,-14.61,-36.668,,,,4.856976645352915,-8.82391915982472,4
* alf Phe,00:26:17.05,-42:18:21.55,2.380000114440918,,,,,N,1,233.05,-356.3,,,,6.5710475153919266,-42.305987194396046,5
* eta Scl,00:27:55.69,-33:00:25.79,,1.840000033378601,,,,N,1,-20.07,-49.425,,,,6.98207425573,-33.00716596713,6
* bet Cet,00:43:35.37,-17:59:11.78,2.009999990463257,0.7799999713897705,,,,N,1,232.55,31.99,,,,10.897378736003901,-17.98660631592891,7
* eta Cet,01:08:35.39,-10:10:56.15,,2.0299999713897705,,,,N,1,215.922,-139.029,,,,17.14746388517208,-10.18226442669,8
* tet Cet,01:24:01.40,-08:10:59.73,,2.259999990463257,,,,N,1,-76.226,-201.519,,,,21.005847006805414,-8.183260897344443,9
V* R Scl,01:26:58.09,-32:32:35.43,,2.299999952316284,,,,N,1,-9.212,-30.813,,,,21.7420579928,-32.54317756523,10
* tau Cet,01:44:04.08,-15:56:14.92,,2.4100000858306885,,,,N,1,-1721.728,854.963,,,,26.01701307163417,-15.93747989102139,11
HD  10824,01:45:59.24,-05:44:00.34,5.340000152587891,4.305771801390165,3.95315372089307,3.812199681185259,4.7800303,N,1,-10.221719768667356,-29.187016846308072,5.5553569899067785,1.7448463,2479813756210251136,26.49687034696852,-5.733429260698093,12
* 120 Phe,01:46:05.96,-50:48:58.51,,2.7300000190734863,,,,N,1,42.827,-16.559,,,,26.52485575357,-50.816254465990006,13
chi Cet,01:49:34.94,-10:41:12.56,4.679999828338623,4.6325863895163835,4.325819631725888,4.295801841419753,4.5682287,N,1,-147.8672140973054,-93.4798276463598,42.58480732836244,0.4598174,2461043306017773696,27.395592738749468,-10.686824077584252,14
* zet Cet,01:51:27.63,-10:20:06.11,,2.369999885559082,,,,N,1,39.752,-40.956,,,,27.86513061761,-10.335031066289998,15
* psi Phe,01:53:38.73,-46:18:09.60,,1.1699999570846558,,,,N,1,-91.676,-86.746,,,,28.411413800361665,-46.3026692717061,16
 56 Cet,01:56:40.27,-22:31:36.81,4.849999904632568,3.98029547657913,3.6691431743345397,3.5408105448570097,4.4074054,N,1,60.37416853512077,-24.634717445501096,7.328993991597423,1.6014807,5134765416778736512,29.167801413987608,-22.52689417375069,17
 57 Cet,01:59:46.22,-20:49:28.08,5.428999900817871,4.111464365345704,3.613911508543719,3.4374969106113333,4.6629734,N,1,18.82621682623091,15.859863581745008,4.763460460067665,2.0477092,5136714576016018432,29.942589526892256,-20.824468084859554,18
* ups Cet,02:00:00.30,-21:04:40.19,,1.7200000286102295,,,,N,1,133.922,-24.341,,,,30.001285296691666,-21.077831669502782,19
HD  12767,02:04:29.44,-29:17:48.30,4.690000057220459,5.099088739260544,4.642039074219361,4.677194440535781,4.641025,N,1,1.8492915652474036,11.772052720635736,9.403376657299413,-0.18028402,5021010046848175616,31.122699247888463,-29.296752376632117,20
rho Cet,02:25:56.99,-12:17:25.86,4.866000175476074,5.190915364649463,4.809645832760737,4.820584153514621,4.851116,N,1,-11.596298368309892,-9.786050147081152,5.805411062221748,0.0067367554,5147600840643195520,36.487471607924974,-12.290517800267525,21
 89 Cet,02:44:07.33,-13:51:31.65,4.236000061035156,4.631625571749353,4.20368682939934,4.231107362634983,4.205342,N,1,-8.394402247181015,-23.591827938926365,8.402240512412622,-0.14038897,5158225936898617344,41.03057723710541,-13.858793576751978,22
* eta Eri,02:56:25.64,-08:53:53.31,,2.5,,,,N,1,78.2,-219.121,,,,44.10687184660001,-8.8981434724,23
HD  18623,02:58:16.33,-40:18:16.64,4.110000133514404,4.575656143227491,4.185892270013446,4.206458015427393,4.3152275,N,1,-50.50152110655515,16.613265689648685,19.526953780935603,0.1421957,5044368071868204160,44.568054513155744,-40.30462235988498,24
* tau04 Eri,03:19:31.00,-21:45:28.31,,0.6600000262260437,,,,N,1,52.774,32.718,,,,49.87916936539666,-21.757865396989718,25
HD  20729,03:19:34.91,-24:07:22.80,5.622000217437744,4.130719867635619,3.5332643251127873,3.3333450465283736,4.7297926,N,1,6.194659636674342,-22.431492140739227,3.7583182868360874,2.222892,5074145801686988800,49.89547476147794,-24.123001423249043,26
* eps Eri,03:32:55.84,-09:27:29.73,,2.5399999618530273,,,,N,1,-974.758,20.876,,,,53.23268537982792,-9.458260970518056,27
del For,03:42:14.90,-31:56:17.88,4.9730000495910645,5.4065896103361695,4.972739576368439,5.001581337140549,4.9434643,N,1,4.814722462468323,13.835796211481078,3.852757307710649,-0.2042799,4863608218527472000,55.56211913282728,-31.938300782851996,28
* del Eri,03:43:14.90,-09:45:48.21,,2.319999933242798,,,,N,1,-93.634,744.36,,,,55.81208557481292,-9.763391932194168,29
* pi. Eri,03:46:08.53,-12:06:05.71,,2.0299999713897705,,,,N,1,56.125,59.445,,,,56.53556341675,-12.101588482009998,30
* g Eri,03:49:27.24,-36:12:00.92,,2.9600000381469727,,,,N,1,-45.547,-49.503,,,,57.36352607903708,-36.20025674197,31
* gam Eri,03:58:01.76,-13:30:30.65,2.940000057220459,0.6800000071525574,,,,N,1,62.227,-112.006,,,,59.50735758877376,-13.508514805984444,32
 36 Eri,03:59:55.49,-24:00:58.10,4.659999847412109,5.000129527080617,4.579321290035666,4.605650539191786,4.5849977,N,1,11.786177643101224,16.739636796489698,9.973925101984124,-0.11669016,5083386372283360000,59.98123971397159,-24.01614148925664,33
* alf Hor,04:14:00.11,-42:17:39.72,,2.4100000858306885,,,,N,1,41.992,-203.157,,,,63.50047592756917,-42.29436854309194,34
 39 Eri,04:14:23.67,-10:15:25.21,4.900000095367432,4.215723786341847,3.9644018035136135,3.8599863560456136,4.551864,N,1,-8.046919553570827,-162.2740568530363,14.170370265198535,1.3152037,3191969567826137600,63.59866323039917,-10.257004679746329,35
HD  27362,04:18:16.08,-20:42:54.61,6.052000045776367,4.133767199421641,3.2400871073215027,2.9526484823158965,4.8088913,N,1,4.40880141769747,19.73905310502364,3.226228355039513,2.779183,5091648579396153856,64.56700762558273,-20.71517129290492,36
*  43 Eri,04:24:02.20,-34:01:00.65,,1.9600000381469727,,,,N,1,67.572,48.489,,,,66.00919305988,-34.01684951183,37
HD  29065,04:34:11.73,-08:58:14.70,5.229000091552734,4.257475432248079,3.933182556321869,3.792385886694504,4.7054224,N,1,-35.35654293088717,-111.6080170602332,5.838593605445808,1.6568959,3185689878960742144,68.54888212315949,-8.97075150389221,38
* ups02 Eri,04:35:33.03,-30:33:44.43,,2.5799999237060547,,,,N,1,-49.422,-12.543,,,,68.88765817174708,-30.562342037091394,39
*  54 Eri,04:40:26.51,-19:40:17.37,,1.399999976158142,,,,N,1,24.625,-93.608,,,,70.11046426124,-19.67149187359,40
alf Cae,04:40:33.51,-41:51:50.71,4.449999809265137,4.405357532904105,4.0952852672748286,4.063985991941188,4.3509507,N,1,-139.84317633357577,-75.67725038342462,49.062048531816515,0.47311115,4815660547961306112,70.13963424554842,-41.86408761019901,41
LTT  2063,04:42:03.53,-37:08:36.18,5.050000190734863,4.948095122936856,4.645632442227664,4.60958742281169,4.9331775,N,1,42.56064406258216,212.7051037058528,34.60884517286459,0.5346408,4866371879660471808,70.514746883652,-37.143384868775584,42
HD  32309,05:01:25.62,-20:03:07.15,4.885000228881836,5.24299734302776,4.858203698576628,4.869115304460755,4.8711514,N,1,36.927544388501545,-15.404087397308611,16.569102104367353,-0.04392481,2975145496872778496,75.356760348796,-20.05198742882325,43
psi Eri,05:01:26.34,-07:10:26.16,4.809999942779541,5.247003299844195,4.790434231818779,4.825216424184282,4.735605,N,1,1.3147751545025996,7.001559214925165,3.5964462551758745,-0.25689125,3187058564780234496,75.35977998271439,-7.173933668400073,44
* gam Cae,05:04:24.40,-35:28:58.71,,2.990000009536743,,,,N,1,125.972,-42.909,,,,76.10167558273,-35.48297537488,45
gam Cae,05:04:24.56,-35:28:59.39,4.573999881744385,3.841152445477853,3.5716585482731666,3.465467563841411,4.194447,N,1,125.97169095478634,-42.90924669956887,17.591151769321872,1.3698413,4825052919883631616,76.10236314753045,-35.48316608514274,46
* eta02 Pic,05:04:58.01,-49:34:40.20,,2.9000000953674316,,,,N,1,68.621,-2.21,,,,76.24172583954,-49.57783409028,47
HD  33042,05:04:58.12,-49:34:40.23,5.010000228881836,3.979636037517509,3.59246571771381,3.4484836781171238,4.454087,N,1,68.62137337804897,-2.210104434310564,7.32699901623978,1.7487977,4785279186259228032,76.24219619490037,-49.577843913965815,48
* eps Lep,05:05:27.66,-22:22:15.72,,1.2699999809265137,,,,N,1,24.049,-74.951,,,,76.36526836354416,-22.371034487030837,49
* bet Eri,05:07:50.97,-05:05:11.38,2.7899999618530273,2.569999933242798,,,,N,1,-88.481,-70.497,,,,76.96239535462041,-5.086496983969999,50
* bet Ori,05:14:32.27,-08:12:05.89,0.12999999523162842,0.15000000596046448,,,,N,1,1.31,0.5,,,,78.63446706693006,-8.201638364722209,51
* e Ori,05:23:56.82,-07:48:29.02,,2.9000000953674316,,,,N,1,-14.339,-43.715,,,,80.9867824417454,-7.808062597089446,52
* bet Lep,05:28:14.72,-20:45:33.99,2.8399999141693115,1.75,,,,N,1,-5.748,-83.65,,,,82.06134536679916,-20.759443885748333,53
* eps Col,05:31:12.74,-35:28:13.82,,2.450000047683716,,,,N,1,27.627,-32.416,,,,82.80311450158,-35.47050660183,54
ups Ori,05:31:55.85,-07:18:05.61,4.630000114440918,5.1301316251152045,4.64147151582731,4.684750124268004,4.5462146,N,1,-0.7035268879099126,-4.885023711195623,2.456718407704508,-0.39315414,3016424530632449280,82.98274667917148,-7.301559457042783,55
* alf Lep,05:32:43.81,-17:49:20.24,2.569999933242798,2.140000104904175,,,,N,1,3.56,1.18,,,,83.18256716166667,-17.82228927222222,56
HD  36960,05:35:02.68,-06:00:07.28,4.71999979019165,5.28640078091523,4.800551655946279,4.840666728392042,4.7164865,N,1,1.1105180164068882,1.6807892766689057,2.61658822599261,-0.37281036,3017187866581304832,83.76118125097135,-6.002022626826358,57
NGC  1980,05:35:14.4,-05:55:26.4,2.5,,,,,N,1,1.219,0.598,,,,83.81,-5.9239999999999995,58
* iot Ori,05:35:25.98,-05:54:35.59,2.7699999809265137,,,,,N,1,-2.816,-1.693,,,,83.85827580502625,-5.909888523506666,59
d Ori,05:38:53.06,-07:12:46.97,4.800000190734863,4.95539258117779,4.618150636644242,4.606976112500095,4.739983,N,1,-15.402364751468909,-49.301808911146075,22.958656835375173,0.19831085,3016083407149428096,84.72111093495268,-7.213048891307543,60
* alf Col,05:39:38.94,-34:04:26.79,2.6500000953674316,2.740000009536743,,,,N,1,1.685,-24.345,,,,84.91225429958334,-34.07410971972223,61
* gam Lep,05:44:27.79,-22:26:54.18,,2.890000104904175,,,,N,1,-291.757,-368.521,,,,86.115794237325,-22.448385487848334,62
* kap Ori,05:47:45.38,-09:40:10.57,2.059999942779541,2.2699999809265137,,,,N,1,1.46,-1.28,,,,86.93912016833333,-9.66960491861111,63
HD  39640,05:50:53.22,-52:06:33.17,5.165999889373779,4.628989707445712,4.381285741529681,4.285679986926669,4.8983216,N,1,2.952625001472523,-76.65076197465555,12.16972826133494,1.1513305,4792305954618472960,87.7217775501848,-52.10921489900183,64
* bet Col,05:50:57.59,-35:46:05.91,,1.690000057220459,,,,N,1,54.452,404.6,,,,87.73996785288541,-35.76830962121,65
* del Lep,05:51:19.29,-20:52:44.73,,2.430000066757202,,,,N,1,229.027,-647.93,,,,87.83040011603666,-20.87909184884028,66
lam Col,05:53:06.87,-33:48:04.40,4.869999885559082,5.309458602426098,4.894503333875446,4.8696195958079285,4.848247,N,1,-4.09523267958587,31.12520551153997,9.4660284494665,-0.20041513,2890256052382220928,88.2786515361158,-33.801224883612235,67
gam Col,05:57:32.20,-35:16:59.64,4.360000133514404,4.781810063884635,4.333667755419876,4.368804488391454,4.30405,N,1,-2.6517299491320747,10.217788825675374,3.091816411539489,-0.20330524,2887631548188825600,89.38419413169026,-35.28323557408734,68
* eta Col,05:59:08.80,-42:48:54.47,,2.559999942779541,,,,N,1,18.897,-11.038,,,,89.78668786934041,-42.815132310185554,69
HD  41047,06:01:16.30,-33:54:43.02,5.52400016784668,4.384000934951004,3.9974178198887653,3.843478958094403,4.891814,N,1,4.875512406636386,-26.177581688849948,4.83199997102624,1.8524053,2889305249701803264,90.3179329776389,-33.91195190394194,70
  3 Mon,06:01:50.41,-10:35:52.48,5.010000228881836,5.373479870697828,4.9590087755568675,4.983226402580451,4.9612155,N,1,-6.277794323166114,4.016101589670394,3.4868378712554704,-0.12645483,2999076195652281856,90.4600629580155,-10.59791301801762,71
CCDM J06033-2617AB,06:03:15.68,-26:17:02.98,5.039999961853027,4.121401102704276,3.793017586754843,3.654615571412746,4.5432167,N,1,65.3207655281572,85.59896066930976,7.781212594707538,1.5793161,2911168969701511424,90.81533908004972,-26.28416234891447,72
V* S Lep,06:05:45.54,-24:11:44.01,,1.75,,,,N,1,4.426,-15.107,,,,91.43979032667,-24.19555972928,73
tet Lep,06:06:09.30,-14:56:06.70,4.663000106811523,4.937056787147178,4.544238458694292,4.555833984224605,4.6362815,N,1,-17.00505163982707,13.152253156212744,19.499130927571603,0.074855804,2993876570803825664,91.53877125016398,-14.935196932716986,74
 19 Lep,06:07:41.65,-19:09:56.20,5.2789998054504395,3.916934063898126,3.3845878713663247,3.188846317957596,4.4822264,N,1,12.491951486573386,56.995580750293115,4.582055056117236,2.1091924,2942242508332433152,91.92355104726148,-19.16561323870943,75
* gam Mon,06:14:51.33,-06:16:29.19,,2.359999895095825,,,,N,1,-5.601,-18.662,,,,93.71388839009543,-6.274776778696667,76
HD  43827,06:17:41.70,-16:48:57.22,5.1479997634887695,4.387582767874804,4.119851192479075,3.997420068353188,4.7560234,N,1,-14.409832689338034,2.6446672490842875,5.508546260933627,1.4171937,2944471321481716224,94.42378324330689,-16.815896921785342,77
* zet CMa,06:20:18.79,-30:03:48.12,2.990000009536743,,,,,N,1,7.32,4.03,,,,95.07830016583333,-30.063366733888888,78
* del Col,06:22:06.82,-33:26:11.03,,2.7100000381469727,,,,N,1,-22.946,-52.045,,,,95.5284372868,-33.43639894756,79
* bet CMa,06:22:41.98,-17:57:21.30,1.9700000286102295,2.3499999046325684,,,,N,1,-3.23,-0.78,,,,95.67493896958332,-17.955918708888888,80
* alf Car,06:23:57.10,-52:41:44.38,-0.7400000095367432,-1.1299999952316284,,,,N,1,19.93,23.24,,,,95.98795782918306,-52.69566138386201,81
lam CMa,06:28:10.19,-32:34:47.83,4.480000019073486,4.908974172245813,4.4791947229068185,4.514471085897002,4.4270487,N,1,-13.777026129145234,25.4590996874218,7.407723981521385,-0.22405624,2892302930717628288,97.0424607538235,-32.57995519114459,82
HD  45725,06:28:49.06,-07:01:59.06,4.599999904632568,4.9135278676300445,4.494008683279647,4.452175200322037,4.539529,N,1,-6.517724939533211,-2.9556759315086594,4.720897938485653,-0.055144787,3006953165675574272,97.20443082022794,-7.033072532821691,83
  4 CMa,06:31:51.36,-23:25:06.22,4.329999923706055,4.842716503129537,4.354283064368534,4.398468000479438,4.2663584,N,1,-3.351826006759163,6.15657188510906,2.1660237512142166,-0.34982014,2924859847973986048,97.9640099410608,-23.418394841586725,84
HD  46568,06:32:21.47,-37:41:49.41,5.252999782562256,4.707099173581831,4.44406200019797,4.358161506965557,4.9751806,N,1,73.07506824684562,-75.5994057293364,11.469225803972678,1.156548,5580063399781825280,98.08948353584422,-37.697059702338336,85
HD  46815,06:33:49.45,-36:13:53.70,5.40500020980835,4.526212414393761,4.227918168240288,4.101265799597227,4.942318,N,1,-15.621720531239191,99.48088590609105,7.984597850511055,1.5607867,5580491384682907264,98.4560808429107,-36.23158426934598,86
HD  47306,06:34:58.56,-52:58:32.02,4.400000095367432,4.638084964786209,4.245684513043905,4.245964540842854,4.3258247,N,1,-7.53711344118085,10.642658023205817,1.923474381363655,0.07692051,5501284972198817536,98.74402761716748,-52.97556197948061,87
* nu.02 CMa,06:36:41.03,-19:15:21.16,,2.609999895095825,,,,N,1,62.66,-69.816,,,,99.17099032848041,-19.25588040351555,88
HD  47536,06:37:47.75,-32:20:21.99,5.257999897003174,4.510546921417813,4.2255382540975965,4.0989440256846486,4.8742375,N,1,107.75451564741267,65.12209435050912,7.990161844937773,1.3992214,5583831735369515008,99.44897561119096,-32.33944403692668,89
  8 CMa,06:37:53.41,-18:14:15.07,4.429999828338623,3.7719941013422513,3.521083246192976,3.4069274821712963,4.103014,N,1,-7.1659155643697225,-8.777129602341436,6.787632050649171,1.3125026,2940472157174944128,99.47255555907884,-18.237519694472574,90
* nu.03 CMa,06:37:53.42,-18:14:14.93,,2.9700000286102295,,,,N,1,-7.166,-8.777,,,,99.47258909203,-18.23748068501,91
HD  47973,06:38:37.64,-48:13:12.34,5.03000020980835,4.508348958770078,4.268184604166999,4.183509375588498,4.7750874,N,1,4.002603316010442,19.657688469508656,6.6546727069447185,1.132772,5551248086235237248,99.65684226005035,-48.22009630685494,92
* alf CMa,06:45:08.91,-16:42:58.01,-1.4600000381469727,-1.4299999475479126,,,,N,1,-546.01,-1223.07,,,,101.28715533333335,-16.71611586111111,93
HD  49689,06:46:52.63,-51:15:57.83,5.379000186920166,4.489897840352967,4.183973857474366,4.042065048319825,4.9148126,N,1,-21.771059944689796,-89.5104404580339,3.5149788799459545,1.559176,5502040955163208832,101.71931735425844,-51.26606568710988,94
* tau Pup,06:49:56.16,-50:36:52.33,2.930000066757202,,,,,N,1,32.618,-69.566,,,,102.48403810537876,-50.61453869751139,95
HD  50235,06:50:52.35,-34:22:02.32,4.988999843597412,4.184264623863946,3.9157616580993304,3.7915018215465794,4.5753856,N,1,3.451580327625238,1.1289142877930871,3.6370145070713833,1.4798305,5579392388451841152,102.71815035084332,-34.36731333609148,96
HD  50648,06:53:00.28,-26:57:28.52,6.440000057220459,4.123430015406051,2.907362428842351,2.617470425431703,4.8086596,N,1,-10.915258791566028,-65.65216154276494,4.219605347516932,3.224538,2919162827256917376,103.25119371373226,-26.95792453527667,97
 15 CMa,06:53:32.90,-20:13:27.23,4.829999923706055,5.300262753521672,4.8406917495684905,4.877197525931319,4.7663326,N,1,-5.837851419364857,4.559535369497517,2.682040418514686,-0.31521988,2932263546963330176,103.38708452690732,-20.224232345171853,98
* omi01 CMa,06:54:07.95,-24:11:03.15,,1.8799999952316284,,,,N,1,-3.771,4.066,,,,103.53313445883,-24.18421097264,99
* tet CMa,06:54:11.39,-12:02:19.06,,2.1700000762939453,,,,N,1,-136.654,-14.322,,,,103.54749525536,-12.038628101049998,100
 18 CMa,06:56:06.64,-14:02:36.24,5.090000152587891,4.163995239669546,3.8250549738660666,3.718762213338014,4.5929117,N,1,-1.1064889251859162,6.382673259372397,3.421917408379425,1.6273775,2949326146358060416,104.02768626148816,-14.043402533581608,101
HD  51799,06:56:15.98,-48:43:16.11,,2.2899999618530273,,,,N,1,1.103,8.16,,,,104.06662450585918,-48.72114336132056,102
Cl Collinder  121,06:56:20,-24:43:48,2.5999999046325684,,,,,N,1,-5.11,4.58,,,,104.08333333333336,-24.729999999999997,103
* eps CMa,06:58:37.54,-28:58:19.51,1.5,1.7999999523162842,,,,N,1,3.24,1.33,,,,104.65645315148348,-28.972086157360806,104
* sig CMa,07:01:43.14,-27:56:05.38,,1.149999976158142,,,,N,1,-5.714,4.89,,,,105.42978350186792,-27.934830340443888,105
HD  54893,07:08:51.05,-39:39:20.23,4.829999923706055,5.27526886789466,4.8314596374244525,4.866163334672199,4.782602,N,1,-10.576515010637486,7.784605965648896,3.774343648442516,-0.23598862,5564659825994306176,107.21272288090462,-39.65562070198668,106
LTT  2758,07:10:47.45,-48:55:52.38,5.090000152587891,4.333764151890797,4.084534700246987,3.957548708100523,4.7136803,N,1,-18.45256726487063,197.52895288477595,9.927379051366705,1.4272814,5508514570390830336,107.6977201012826,-48.93121919959045,107
 71 Pup,07:12:33.41,-46:45:31.77,4.489999771118164,4.425827823123775,4.122546567801458,4.081134968580353,4.38301,N,1,-135.80612317341138,107.43332716701347,46.9030776895444,0.49389076,5509770796785820416,108.13922367542024,-46.758827129126175,108
 72 Pup,07:13:13.31,-45:10:59.25,4.874000072479248,5.186351740188776,4.815778283059386,4.8353404542624805,4.855254,N,1,-25.16578246575833,-87.37968922952703,17.362233769305732,0.00011396408,5511635499783885440,108.30546881852204,-45.18312595365751,109
* L02 Pup,07:13:32.31,-44:38:22.95,,0.07000000029802322,,,,N,1,106.757,323.164,,,,108.38466059843168,-44.63970885887889,110
,07:14:38.13,-48:16:18.94,,5.121771203942515,4.713989068745986,4.747794779879948,4.721437,N,1,-4.2717547943725105,-0.1516087784627474,9.048900091907704,-0.09697342,5508659362328792704,108.65889107843373,-48.271927786329506,111
* 145 CMa,07:16:36.83,-23:18:56.13,,2.509999990463257,,,,N,1,-3.816,3.896,,,,109.15347732104,-23.315593963849995,112
* pi. Pup,07:17:08.55,-37:05:50.89,2.700000047683716,0.550000011920929,,,,N,1,-10.05,6.47,,,,109.28565325467379,-37.09747115430162,113
HD  57821,07:22:13.52,-19:00:59.86,4.949999809265137,5.257025143731006,4.872302204774316,4.882885821577101,4.9122424,N,1,-1.1101953303195935,-6.450722186352874,5.465724930604307,-0.0152516365,2930559063426460544,110.55636700315657,-19.016629889873656,114
* eta CMa,07:24:05.70,-29:18:11.17,2.450000047683716,2.440000057220459,,,,N,1,-4.14,5.81,,,,111.02375950100142,-29.303105508471724,115
* sig Pup,07:29:13.83,-43:18:05.16,,1.1200000047683716,,,,N,1,-61.628,189.627,,,,112.30763598742709,-43.30143539413861,116
HD  59612,07:29:51.40,-23:01:27.37,4.860000133514404,4.8739543625966775,4.529571502446667,4.452720425628244,4.7652264,N,1,-2.8311986603639925,4.1716102197064755,0.753483780667761,0.43458796,5618683092877834368,112.46420423729673,-23.024271665481557,117
HD  59890,07:30:42.58,-30:57:44.19,4.650000095367432,4.179277515321893,3.9303650218809913,3.857494753516672,4.4038615,N,1,-11.969376226993967,1.0551673679762454,2.399903285007338,1.0519567,5593345912571693824,112.67744619582736,-30.962275845942536,118
V* KQ Pup,07:33:47.96,-14:31:26.05,,2.0799999237060547,,,,N,1,-6.997,3.998,,,,113.44986160177,-14.52390398785,119
HD  61556,07:38:49.84,-26:48:13.50,4.428999900817871,4.921527393406286,4.445846279363135,4.507606854698016,4.4215617,N,1,-17.567267209002143,21.662057306448673,8.305822243815244,-0.2527852,5612323414549657728,114.70770724641432,-26.80375088742428,120
HD  61831,07:39:27.31,-38:18:28.62,4.840000152587891,5.282588256707712,4.841826678375122,4.883963866087709,4.78793,N,1,-20.69955296393936,16.078579252240328,5.157556531638598,-0.25106955,5585285049228526080,114.86379375953553,-38.30795199266816,121
* alf Mon,07:41:14.83,-09:33:04.07,,2.640000104904175,,,,N,1,-74.989,-19.838,,,,115.31179988937959,-9.551132713051112,122
